statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_ungraduated_m,edu_master_graduated_m,edu_master_ungraduated_m,edu_university_graduated_m,edu_university_ungraduated_m,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_senior_graduated_m,edu_senior_ungraduated_m,edu_seniorvocational_graduated_m,edu_seniorvocational_ungraduated_m,edu_junior_graduated_m,edu_junior_ungraduated_m,edu_juniorvocational_graduated_m,edu_juniorvocational_ungraduated_m,edu_primary_graduated_m,edu_primary_ungraduated_m,edu_selftaughtl_m,edu_illiterate_m
統計年,區域別,村里名稱,總計,博畢_男,博肄_男,碩畢_男,碩肄_男,大畢_男,大肄_男,二畢_男,二肄_男,後二畢_男,後二肄_男,前三肄_男,高畢_男,高肄_男,職畢_男,職肄_男,國畢_男,國肄_男,初畢_男,初肄_男,小畢_男,小肄_男,自修_男,不識_男
105,臺北市中正區,龍光里,2962,37,8,252,40,468,121,57,9,82,4,86,58,93,34,3,29,15,1,0,20,8,0,2
105,臺北市中正區,南福里,9028,129,48,708,105,1225,405,210,19,264,14,210,246,305,77,16,113,42,2,2,104,22,0,0
105,臺北市中正區,龍福里,6357,71,15,382,75,828,233,149,22,175,10,235,147,275,75,5,164,49,2,1,131,57,8,21
105,臺北市中正區,新營里,7646,142,43,671,100,1127,286,169,18,183,12,179,165,223,62,9,85,29,0,0,44,24,3,2
105,臺北市中正區,建國里,1289,12,5,88,10,170,35,44,5,45,3,30,28,40,12,2,11,8,0,0,13,3,0,0
105,臺北市中正區,光復里,3360,31,8,166,41,443,111,78,22,102,5,120,72,159,40,9,65,22,0,1,44,8,2,3
105,臺北市中正區,黎明里,2923,36,12,180,35,448,126,73,10,89,4,92,56,108,27,0,44,23,3,1,32,6,1,2
105,臺北市中正區,梅花里,2901,26,16,186,27,470,91,67,7,94,5,74,51,116,16,1,36,18,1,0,36,13,1,1
105,臺北市中正區,幸福里,4106,54,12,267,40,619,164,114,18,112,12,114,71,172,42,8,33,17,1,0,51,10,1,1
105,臺北市中正區,幸市里,4115,62,14,343,43,702,134,95,6,112,6,89,49,119,28,5,56,15,4,0,36,6,1,2
105,臺北市中正區,東門里,3573,57,16,291,48,521,122,88,10,95,10,72,52,104,46,2,59,16,1,0,52,13,1,1
105,臺北市中正區,文北里,4952,89,31,453,58,858,150,106,14,115,8,88,77,112,27,2,45,24,1,0,26,13,2,1
105,臺北市中正區,文祥里,6712,121,18,551,77,995,237,156,21,179,5,172,146,215,55,5,72,33,0,0,51,15,3,2
105,臺北市中正區,三愛里,7492,135,24,599,95,1170,250,126,14,205,7,152,134,199,65,2,76,30,3,0,57,16,0,1
105,臺北市大同區,玉泉里,2746,12,6,104,24,353,106,56,16,101,5,140,41,144,42,3,90,26,3,2,54,8,0,0
105,臺北市大同區,建明里,3126,20,2,137,25,403,105,87,14,102,4,131,53,199,42,2,76,17,10,0,61,7,2,1
105,臺北市大同區,建功里,4225,17,7,162,31,437,119,121,27,138,8,207,75,278,49,11,139,31,15,1,127,14,1,3
105,臺北市大同區,建泰里,3334,18,5,164,24,423,109,83,10,131,12,133,53,190,49,4,82,28,4,1,56,9,1,1
105,臺北市大同區,永樂里,4843,29,9,236,38,636,169,118,20,169,9,240,91,282,50,6,126,33,13,3,99,19,0,2
105,臺北市大同區,朝陽里,4077,19,8,171,35,471,139,96,27,141,8,145,72,252,62,8,124,17,11,2,91,15,1,2
