statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_ungraduated_m,edu_master_graduated_m,edu_master_ungraduated_m,edu_university_graduated_m,edu_university_ungraduated_m,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_senior_graduated_m,edu_senior_ungraduated_m,edu_seniorvocational_graduated_m,edu_seniorvocational_ungraduated_m,edu_junior_graduated_m,edu_junior_ungraduated_m,edu_juniorvocational_graduated_m,edu_juniorvocational_ungraduated_m,edu_primary_graduated_m,edu_primary_ungraduated_m,edu_selftaughtl_m,edu_illiterate_m
統計年,區域別,村里名稱,總計,博畢_男,博肄_男,碩畢_男,碩肄_男,大畢_男,大肄_男,二畢_男,二肄_男,後二畢_男,後二肄_男,前三肄_男,高畢_男,高肄_男,職畢_男,職肄_男,國畢_男,國肄_男,初畢_男,初肄_男,小畢_男,小肄_男,自修_男,不識_男
104,臺北市松山區,中崙里,3644,28,8,232,45,456,140,101,11,112,6,3,81,66,175,35,57,24,3,1,50,6,0,0
104,臺北市松山區,美仁里,3061,25,8,189,29,461,98,67,7,97,1,1,97,54,127,31,55,28,2,0,49,4,0,0
104,臺北市松山區,吉仁里,3566,22,9,203,37,542,135,85,8,105,9,3,113,61,145,47,47,18,2,0,49,4,0,0
104,臺北市松山區,敦化里,6161,55,21,401,75,928,204,157,22,194,14,6,178,95,226,66,89,37,0,0,71,7,1,4
104,臺北市松山區,復源里,2844,20,7,195,27,394,94,76,8,94,3,5,78,46,131,29,56,14,1,0,34,1,0,0
104,臺北市松山區,復建里,3975,28,6,287,33,587,134,104,16,135,8,2,122,58,162,54,41,24,2,0,42,3,2,1
104,臺北市松山區,復勢里,5520,34,11,345,44,833,191,141,15,156,15,8,165,73,210,69,72,22,5,0,67,8,1,2
104,臺北市松山區,福成里,2418,27,4,179,21,374,91,45,4,74,1,1,62,44,82,21,26,17,1,0,15,3,1,1
104,臺北市松山區,松基里,3331,34,6,221,20,505,106,69,9,100,6,4,94,44,117,31,59,17,1,0,64,7,1,3
104,臺北市信義區,西村里,5454,34,16,302,54,789,251,145,4,205,1,7,212,93,238,33,151,80,2,0,114,37,6,9
104,臺北市信義區,正和里,4194,33,15,280,41,676,142,107,3,137,1,5,88,53,129,33,41,13,0,1,25,8,2,1
104,臺北市信義區,興隆里,2620,24,7,159,26,393,112,49,0,63,2,0,70,46,80,15,52,19,1,2,43,8,4,2
104,臺北市信義區,中興里,3114,19,14,189,33,463,106,70,7,95,0,2,75,36,118,16,46,15,0,0,31,5,0,1
104,臺北市信義區,新仁里,3138,24,9,214,44,494,123,67,11,123,10,3,74,47,84,28,39,17,0,0,31,3,0,0
104,臺北市信義區,興雅里,5344,33,16,302,50,769,215,161,5,185,0,9,188,64,237,55,93,16,1,1,93,5,1,2
104,臺北市信義區,敦厚里,4837,28,20,297,60,672,205,136,9,166,0,12,152,54,195,31,87,25,1,0,82,4,0,0
104,臺北市信義區,廣居里,7060,54,22,460,82,1014,301,209,7,247,0,12,179,101,290,54,114,36,2,0,83,6,2,0
104,臺北市信義區,安康里,9050,92,39,674,99,1403,354,233,8,250,0,8,222,157,310,70,119,49,2,0,90,11,5,1
104,臺北市信義區,六藝里,3400,12,4,158,34,366,155,126,4,91,0,6,138,62,188,58,106,28,3,2,97,9,5,3
104,臺北市信義區,雅祥里,4546,30,9,253,47,520,210,139,10,130,2,6,128,53,279,60,161,31,1,0,126,10,2,1
104,臺北市信義區,五常里,3465,14,10,161,36,444,143,119,10,121,0,5,116,46,173,37,96,15,1,0,108,5,3,2
104,臺北市信義區,五全里,4669,12,14,202,42,574,155,148,13,176,0,8,147,67,277,51,124,22,3,0,136,9,2,3
104,臺北市信義區,永吉里,3760,8,2,99,22,374,190,100,3,108,2,5,148,49,288,50,231,30,3,2,175,17,3,4
104,臺北市信義區,長春里,3909,17,8,138,36,411,201,112,4,104,1,5,162,42,240,56,161,20,4,0,167,9,1,5
104,臺北市信義區,四育里,5283,24,9,217,47,636,251,168,9,165,0,7,194,71,330,59,165,31,5,1,137,5,2,5
104,臺北市信義區,四維里,5022,26,9,238,67,716,206,141,9,144,1,7,173,64,293,39,124,21,4,0,99,8,2,4
104,臺北市信義區,永春里,4565,13,13,194,43,520,221,140,14,153,1,3,148,55,284,59,151,22,6,0,125,11,4,2
104,臺北市信義區,富台里,3964,12,14,224,34,496,176,111,5,143,0,5,134,57,156,45,76,27,2,0,69,5,1,2
104,臺北市信義區,國業里,6745,46,18,436,77,953,285,200,14,210,0,9,198,99,247,59,121,40,1,3,115,8,1,2
104,臺北市信義區,松隆里,2141,4,4,81,15,203,103,70,4,62,0,1,78,26,150,30,95,25,1,0,79,5,1,6
104,臺北市信義區,松友里,6105,22,18,304,60,809,255,190,12,199,2,8,210,69,304,57,126,25,7,1,120,5,3,1
104,臺北市信義區,松光里,4598,25,8,248,44,602,195,145,3,153,0,3,164,44,248,46,120,20,1,0,115,5,2,1
104,臺北市信義區,中坡里,4154,10,10,196,36,497,191,133,6,139,2,2,150,40,238,53,123,24,2,1,112,6,3,3
104,臺北市信義區,中行里,7440,35,14,267,79,879,360,222,17,226,3,12,277,84,473,93,233,53,4,2,235,13,6,8
104,臺北市信義區,大道里,5708,28,11,298,52,806,236,158,5,207,1,6,173,69,319,53,163,32,4,1,136,6,0,3
104,臺北市信義區,大仁里,3786,24,7,153,36,414,142,133,7,127,2,4,121,37,226,43,156,32,4,0,108,6,2,2
104,臺北市信義區,景新里,4666,42,11,285,44,725,185,129,3,128,0,5,127,76,162,34,75,23,4,1,59,6,2,5
104,臺北市信義區,惠安里,6133,28,18,263,79,751,325,192,8,205,1,6,200,69,314,66,197,34,1,0,151,12,2,7
104,臺北市信義區,三張里,8256,64,21,441,83,1132,354,232,34,262,14,8,304,119,368,76,184,36,3,2,164,11,4,9
104,臺北市信義區,三犁里,4836,46,15,293,52,693,214,122,8,133,0,2,187,50,183,39,89,32,3,2,91,4,0,2
104,臺北市信義區,六合里,6387,52,18,383,87,903,268,186,8,205,0,9,187,87,259,62,158,28,3,1,95,18,1,4
104,臺北市信義區,泰和里,7304,30,17,292,62,793,316,240,9,203,3,10,315,83,442,113,240,49,3,0,215,24,4,3
104,臺北市信義區,景聯里,4296,25,18,268,48,599,203,107,10,143,0,4,133,45,173,31,90,16,6,1,84,6,2,5
104,臺北市信義區,景勤里,3770,14,16,185,40,426,165,119,7,151,0,8,136,52,227,31,116,27,3,2,98,7,2,2
104,臺北市信義區,雙和里,6540,36,28,312,92,887,267,201,7,218,3,5,250,96,299,64,148,29,3,0,126,8,1,3
104,臺北市信義區,嘉興里,3009,20,9,138,27,416,133,93,3,97,0,2,92,33,163,22,65,15,1,1,60,4,1,0
104,臺北市信義區,黎順里,3902,32,14,195,43,500,184,116,5,111,1,4,124,61,198,38,103,22,2,1,101,10,1,0
104,臺北市信義區,黎平里,6553,46,18,354,72,887,274,209,10,195,2,12,182,74,309,62,156,35,3,2,143,12,2,4
104,臺北市信義區,黎忠里,4476,18,15,204,34,499,182,154,7,132,2,2,191,64,237,45,162,21,3,0,119,7,0,5
104,臺北市信義區,黎安里,2017,2,1,35,13,158,108,55,3,39,0,2,102,28,118,31,123,22,4,1,131,22,11,2
104,臺北市大安區,德安里,5105,61,20,380,43,840,156,111,12,144,13,4,153,78,139,33,51,20,1,0,22,9,0,1
104,臺北市大安區,仁慈里,4624,72,21,378,59,751,140,103,11,118,4,3,101,100,104,33,40,27,0,0,38,6,2,1
104,臺北市大安區,和安里,6051,75,19,500,65,963,229,137,15,168,7,6,154,129,162,54,64,45,3,0,38,9,0,0
104,臺北市大安區,民炤里,7170,127,28,641,71,1176,214,148,16,174,6,7,143,109,193,27,69,31,2,0,38,13,4,1
104,臺北市大安區,仁愛里,4781,74,9,308,33,828,133,106,7,126,11,3,119,74,112,30,67,18,1,0,27,7,8,5
104,臺北市大安區,義村里,5538,57,18,380,60,883,173,138,12,205,9,2,191,68,194,48,83,24,1,0,53,8,4,2
104,臺北市大安區,民輝里,6319,105,24,469,71,985,226,113,19,171,9,10,157,77,202,47,117,29,1,0,80,13,2,4
104,臺北市大安區,昌隆里,2872,42,13,217,18,533,89,55,1,104,1,1,87,28,81,16,31,7,3,0,29,4,0,0
104,臺北市大安區,誠安里,3890,42,6,251,29,622,120,88,5,119,4,6,124,52,143,29,54,17,5,1,39,9,1,4
104,臺北市大安區,光武里,6948,64,12,443,62,1090,213,126,19,194,12,3,224,84,219,47,94,38,2,0,72,8,3,0
104,臺北市大安區,龍坡里,5113,222,20,479,66,741,160,102,8,111,5,3,89,92,108,30,49,28,1,0,29,3,1,1
104,臺北市大安區,龍泉里,4239,87,23,359,53,604,121,101,10,125,5,6,81,62,123,30,53,18,3,0,34,5,1,2
104,臺北市大安區,古風里,3796,75,13,306,44,593,129,85,19,94,3,6,88,52,101,27,47,16,0,0,38,4,1,0
104,臺北市大安區,古莊里,6311,103,24,517,85,914,192,126,15,152,8,3,166,114,193,42,76,23,3,0,68,9,7,0
104,臺北市大安區,龍安里,6993,153,28,524,59,966,230,149,18,189,14,11,243,130,251,61,190,70,3,0,96,50,12,7
104,臺北市大安區,錦安里,5172,119,34,458,53,810,150,99,13,138,3,4,102,101,113,31,34,33,4,0,35,3,0,1
104,臺北市大安區,福住里,5447,101,25,484,59,846,171,102,13,113,7,4,100,98,132,36,43,28,2,0,27,3,0,0
104,臺北市大安區,永康里,3250,44,5,258,36,528,79,77,6,102,4,2,104,55,102,20,26,16,1,0,33,4,1,2
104,臺北市大安區,光明里,3011,43,10,247,42,450,97,72,12,69,6,2,75,71,116,21,25,17,0,1,28,5,3,1
104,臺北市大安區,錦泰里,3099,66,15,256,33,498,93,72,6,83,6,3,59,60,89,18,26,21,1,0,17,2,0,0
104,臺北市大安區,錦華里,4841,90,27,430,61,782,148,83,9,119,6,6,120,92,129,31,42,28,1,0,40,1,1,0
104,臺北市大安區,龍圖里,6140,92,20,451,73,971,209,165,16,186,5,6,150,82,203,45,67,20,4,0,54,3,2,3
104,臺北市大安區,新龍里,6079,78,36,475,81,1009,226,129,15,176,3,7,149,106,137,42,45,27,0,0,33,10,0,0
104,臺北市大安區,龍陣里,3305,38,10,235,37,530,127,81,6,93,4,1,95,57,106,22,37,15,1,0,46,7,2,1
104,臺北市大安區,龍雲里,4439,51,13,327,37,649,148,96,16,118,5,3,144,59,164,31,55,27,0,0,58,8,1,0
104,臺北市大安區,龍生里,5842,101,25,469,65,866,202,134,17,153,6,5,145,87,166,63,56,22,0,0,47,7,0,4
104,臺北市大安區,住安里,4788,43,9,241,45,628,156,123,25,128,5,6,150,98,226,49,107,25,0,0,101,11,1,4
104,臺北市大安區,義安里,4912,68,9,366,55,816,172,79,16,134,4,3,141,79,116,31,48,34,3,0,51,9,2,1
104,臺北市大安區,通化里,5666,38,11,286,38,729,162,153,26,173,6,3,220,81,294,77,171,27,1,1,146,20,1,4
104,臺北市大安區,通安里,5130,30,11,279,42,696,170,144,24,170,8,4,170,57,255,52,143,25,4,0,103,10,1,0
104,臺北市大安區,臨江里,3828,26,9,130,31,435,110,112,24,104,10,6,145,49,247,67,115,31,5,0,109,16,6,4
104,臺北市大安區,法治里,4133,28,13,289,42,613,127,80,11,139,8,3,123,90,147,34,47,26,1,0,59,3,2,2
104,臺北市大安區,全安里,3999,41,10,307,37,702,125,99,8,112,4,4,93,51,102,22,49,18,3,0,29,2,0,0
104,臺北市大安區,群賢里,5443,72,12,410,50,899,156,98,18,120,5,2,139,91,154,42,61,20,0,0,61,3,1,4
104,臺北市大安區,群英里,6540,84,24,518,88,1045,219,161,18,212,9,4,166,100,170,51,53,33,1,0,25,9,1,2
104,臺北市大安區,虎嘯里,3429,41,8,253,35,575,114,60,7,119,3,3,86,44,86,24,32,10,2,0,27,1,0,0
104,臺北市大安區,臥龍里,1737,27,3,129,18,283,48,40,4,45,1,2,48,26,57,13,15,12,2,0,25,1,1,0
104,臺北市大安區,龍淵里,8075,171,46,702,93,1193,243,182,18,186,10,4,175,143,240,70,94,32,3,0,70,7,0,2
104,臺北市大安區,龍門里,3763,86,10,349,26,674,119,55,10,87,2,3,74,57,86,19,32,24,2,0,18,2,1,0
104,臺北市大安區,大學里,7589,225,43,650,86,1122,240,155,15,174,7,1,195,126,210,60,59,27,3,0,59,12,5,1
104,臺北市大安區,芳和里,5336,34,13,298,50,694,163,160,16,193,8,2,205,75,265,55,147,31,3,0,122,15,2,5
104,臺北市大安區,黎元里,5075,19,13,214,42,552,126,158,31,148,12,4,220,73,354,75,160,26,3,1,174,15,5,6
104,臺北市大安區,黎孝里,7065,44,22,383,66,1042,206,200,26,208,10,4,269,92,344,87,143,40,4,1,130,15,3,7
104,臺北市大安區,黎和里,4502,27,15,236,39,620,111,122,13,128,9,0,157,70,234,64,127,32,0,1,94,18,1,1
104,臺北市大安區,建安里,4487,55,14,318,41,732,143,84,12,115,4,2,115,77,111,20,40,20,1,0,27,3,2,0
104,臺北市大安區,建倫里,5581,81,8,376,39,969,166,113,9,159,9,3,152,81,137,25,48,20,0,1,34,4,1,1
104,臺北市大安區,敦安里,5589,80,14,440,48,920,176,102,17,145,10,1,133,96,162,40,51,22,1,0,34,5,1,1
104,臺北市大安區,正聲里,4355,55,14,349,47,737,127,87,9,127,2,4,112,68,97,41,59,15,0,0,31,6,4,3
104,臺北市大安區,敦煌里,5337,73,20,460,54,926,146,95,14,118,3,5,124,83,119,20,45,20,2,1,35,7,3,1
104,臺北市大安區,華聲里,3858,38,15,278,37,590,113,87,11,122,3,2,95,70,145,30,47,19,1,0,37,4,1,2
104,臺北市大安區,車層里,5701,66,12,409,49,1004,155,122,15,170,10,1,154,79,152,33,68,25,1,0,38,6,2,2
104,臺北市大安區,光信里,6957,92,15,472,63,1148,206,143,18,164,9,5,191,112,196,70,102,47,2,0,80,10,4,3
104,臺北市大安區,學府里,2568,200,8,105,19,211,83,51,14,61,4,3,125,45,145,36,101,20,1,0,88,7,4,2
104,臺北市中山區,正守里,2947,15,10,152,26,410,87,66,13,110,8,4,108,43,150,41,77,16,1,3,65,8,0,3
104,臺北市中山區,正義里,4828,26,5,167,32,550,151,127,25,136,3,2,173,71,272,65,128,34,3,1,77,9,4,1
104,臺北市中山區,正得里,3432,31,9,181,31,464,88,81,10,99,8,2,108,38,138,31,67,14,4,0,48,7,2,2
104,臺北市中山區,民安里,4286,31,8,230,37,583,117,86,18,150,12,7,160,70,203,43,124,25,3,1,82,10,2,4
104,臺北市中山區,康樂里,2448,13,6,118,23,282,58,56,9,61,6,4,100,23,119,28,66,11,0,0,31,4,1,1
104,臺北市中山區,中山里,5882,27,8,249,39,700,166,173,19,166,12,4,212,67,284,65,124,36,5,0,111,17,0,3
104,臺北市中山區,聚盛里,3839,21,5,138,28,454,84,107,20,101,12,2,170,35,207,54,108,26,5,0,61,9,2,2
