statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_ungraduated_m,edu_master_graduated_m,edu_master_ungraduated_m,edu_university_graduated_m,edu_university_ungraduated_m,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_senior_graduated_m,edu_senior_ungraduated_m,edu_seniorvocational_graduated_m,edu_seniorvocational_ungraduated_m,edu_junior_graduated_m,edu_junior_ungraduated_m,edu_juniorvocational_graduated_m,edu_juniorvocational_ungraduated_m,edu_primary_graduated_m,edu_primary_ungraduated_m,edu_selftaughtl_m,edu_illiterate_m,,,,,,,,,,,,,,,,,,,,,,,
統計年,區域別,村里名稱,總計,博畢_男,博肄_男,碩畢_男,碩肄_男,大畢_男,大肄_男,二畢_男,二肄_男,後二畢_男,後二肄_男,前三肄_男,高畢_男,高肄_男,職畢_男,職肄_男,國畢_男,國肄_男,初畢_男,初肄_男,小畢_男,小肄_男,自修_男,不識_男,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,光仁里,2667,5,2,74,18,237,92,93,14,65,7,4,83,41,200,61,139,23,2,0,133,5,0,1,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,埤墘里,3789,9,7,124,25,300,113,102,21,92,7,8,128,60,295,104,220,27,3,1,129,5,5,5,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,永安里,3150,9,3,97,25,283,97,96,25,84,6,10,89,34,248,65,175,29,2,3,147,16,1,0,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,雙玉里,3554,5,2,95,27,267,91,102,22,101,13,6,118,56,254,104,240,31,3,0,144,9,1,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,廣新里,3246,1,4,68,15,243,96,88,15,70,10,7,132,55,255,101,206,31,1,1,154,9,4,7,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,深丘里,7484,37,14,379,88,903,265,219,29,255,14,24,189,146,406,104,215,55,6,2,141,14,2,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,香丘里,3412,5,6,102,24,296,132,101,27,92,4,9,121,50,254,84,140,32,3,2,147,4,2,6,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,西安里,2504,9,1,77,18,236,91,74,19,54,2,7,99,38,172,66,136,18,2,2,80,5,4,8,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,東丘里,4250,9,2,125,24,378,148,112,27,105,8,14,131,63,325,106,211,34,9,2,190,15,2,4,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,長安里,4040,17,6,137,30,366,164,138,25,102,6,8,115,75,302,89,150,28,3,0,131,9,1,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,福丘里,4159,30,15,261,38,532,166,108,13,146,5,12,110,80,172,36,64,27,3,0,59,4,1,1,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,福祿里,3539,16,7,108,29,349,119,114,17,101,7,10,107,53,233,63,154,21,4,0,109,4,4,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,民族里,3970,15,9,172,48,463,140,142,18,132,6,15,84,65,265,58,124,28,2,0,124,4,0,4,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,國泰里,3252,5,4,98,26,284,111,112,18,85,10,9,97,57,225,63,163,24,3,2,97,18,4,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,福德里,4688,7,9,147,46,434,166,142,24,150,13,11,126,72,380,112,222,35,1,1,202,15,0,4,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,景星里,3139,12,4,116,30,311,115,88,18,117,7,8,109,50,235,50,116,15,0,0,90,5,2,0,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,福星里,3207,13,5,126,27,363,124,94,11,102,3,7,108,54,205,45,123,18,1,0,68,5,2,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,鄉雲里,3414,18,10,101,32,360,97,97,21,86,2,7,114,51,241,56,158,20,4,2,109,5,1,5,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,廣德里,6128,20,9,227,57,595,221,156,32,201,10,10,184,78,528,131,231,37,1,0,194,14,1,1,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,大豐里,4292,6,3,129,34,402,130,147,26,133,10,10,115,62,373,93,202,30,3,0,154,12,3,1,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,重慶里,8042,11,7,224,61,769,284,245,37,225,12,26,269,128,637,182,424,60,8,0,238,20,4,1,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,仁愛里,2932,4,6,89,27,292,100,115,20,123,12,13,131,36,222,62,126,12,2,0,63,7,1,0,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,和平里,3215,17,7,194,31,401,92,100,23,78,7,9,77,38,180,41,87,8,2,0,72,4,3,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,廣福里,3706,11,2,97,26,317,112,124,31,84,7,9,121,68,299,77,220,28,1,2,148,12,3,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,華興里,3803,17,1,126,17,346,127,125,31,103,10,12,120,56,293,86,176,28,4,1,122,6,1,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,華貴里,2483,3,2,59,13,212,71,67,19,62,5,5,128,26,192,53,150,15,1,0,112,5,0,1,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,華德里,6448,14,12,212,54,599,221,214,41,182,13,11,205,95,478,139,328,39,8,0,210,15,3,5,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,華東里,6205,35,10,324,73,808,214,184,32,212,12,14,158,94,358,89,189,29,4,4,145,9,1,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,信義里,3840,4,2,94,20,321,112,98,27,109,7,8,118,45,372,87,253,29,2,0,165,12,3,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,浮洲里,3813,1,3,46,21,270,104,106,25,51,11,12,154,101,312,118,299,104,3,1,210,25,5,4,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,華中里,4941,0,4,86,19,362,164,128,36,79,13,7,157,56,496,137,393,48,4,3,245,16,8,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,僑中里,3769,1,5,60,21,313,157,96,32,53,5,13,129,53,326,110,286,22,1,2,172,6,1,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,中山里,3672,2,2,50,24,253,118,103,24,68,7,8,136,37,351,79,259,33,1,1,229,16,7,7,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,復興里,1009,2,1,11,6,75,23,26,3,13,1,3,56,12,94,22,99,17,2,0,104,14,14,10,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,大安里,3842,8,4,52,22,303,111,113,29,80,6,10,142,50,345,108,282,28,3,0,203,12,2,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,福安里,2407,0,1,52,10,204,61,76,12,50,6,7,90,26,218,67,136,22,1,1,131,8,2,0,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,聚安里,5022,2,4,110,23,370,129,126,31,76,6,11,184,59,474,147,423,36,6,1,272,18,5,4,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,龍安里,2622,4,2,40,13,159,75,75,16,40,5,6,78,32,237,77,210,22,4,0,144,16,6,8,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,崑崙里,8879,11,6,191,75,679,316,283,75,189,8,19,374,156,759,281,515,65,6,4,272,23,6,7,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,溪洲里,5401,10,1,106,32,441,179,159,31,113,11,10,208,75,465,117,386,21,6,4,221,11,1,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,溪北里,3258,4,7,72,30,242,125,91,23,68,7,4,166,59,263,83,172,26,2,1,125,9,2,1,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,香雅里,2403,2,0,64,18,221,77,66,19,62,5,5,93,30,172,52,142,20,3,0,124,5,0,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,新生里,3965,4,3,121,28,405,126,111,25,94,5,10,149,40,279,85,263,33,5,3,181,7,7,1,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,文德里,2852,13,2,96,26,297,98,92,24,80,6,11,107,41,198,57,117,24,1,0,91,5,1,5,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,文化里,3063,7,5,99,26,301,98,81,17,83,13,9,91,40,210,78,166,20,1,2,132,9,1,2,,,,,,,,,,,,,,,,,,,,,,,
